data_cotacao,produto,regiao,unidade,preco,fonte
2026-07-31,Nanica primeira - atacado,São Paulo (capital),caixa de 22 Kg,57.50,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-31,Nanica primeira - produtor,Bom Jesus da Lapa,quilograma,2.40,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-31,Nanica primeira - produtor,Norte de Minas Gerais,quilograma,2.60,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-31,Nanica primeira - produtor,Norte de Santa Catarina,quilograma,1.41,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-31,Nanica primeira - produtor,Vale do Ribeira,quilograma,2.17,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-31,Prata anã primeira - atacado,São Paulo (capital),Caixa 20 Kg,120.00,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-31,Prata anã primeira - produtor,Bom Jesus da Lapa,quilograma,2.40,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-31,Prata anã primeira - produtor,Delfinópolis,quilograma,3.08,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-31,Prata anã primeira - produtor,Linhares,quilograma,2.80,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-31,Prata anã primeira - produtor,Norte de Minas Gerais,quilograma,2.97,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-31,Prata anã primeira - produtor,Vale do São Francisco,quilograma,1.73,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-31,Prata litoral primeira - atacado,São Paulo (capital),Caixa 20 Kg,68.00,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-31,Prata litoral primeira - produtor,Bom Jesus da Lapa,quilograma,2.50,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-31,Prata litoral primeira - produtor,Norte de Santa Catarina,quilograma,2.21,Hortifruti/Cepea (CC BY-NC 4.0)
2026-07-31,Prata litoral primeira - produtor,Vale do Ribeira,quilograma,2.54,Hortifruti/Cepea (CC BY-NC 4.0)
2026-08-07,Nanica primeira - atacado,São Paulo (capital),caixa de 22 Kg,56.67,Hortifruti/Cepea (CC BY-NC 4.0)
2026-08-07,Nanica primeira - produtor,Bom Jesus da Lapa,quilograma,2.40,Hortifruti/Cepea (CC BY-NC 4.0)
2026-08-07,Nanica primeira - produtor,Linhares,quilograma,1.80,Hortifruti/Cepea (CC BY-NC 4.0)
2026-08-07,Nanica primeira - produtor,Norte de Minas Gerais,quilograma,2.38,Hortifruti/Cepea (CC BY-NC 4.0)
2026-08-07,Nanica primeira - produtor,Norte de Santa Catarina,quilograma,1.41,Hortifruti/Cepea (CC BY-NC 4.0)
2026-08-07,Nanica primeira - produtor,Vale do Ribeira,quilograma,1.81,Hortifruti/Cepea (CC BY-NC 4.0)
2026-08-07,Prata anã primeira - atacado,São Paulo (capital),Caixa 20 Kg,116.67,Hortifruti/Cepea (CC BY-NC 4.0)
2026-08-07,Prata anã primeira - produtor,Bom Jesus da Lapa,quilograma,2.66,Hortifruti/Cepea (CC BY-NC 4.0)
2026-08-07,Prata anã primeira - produtor,Delfinópolis,quilograma,2.98,Hortifruti/Cepea (CC BY-NC 4.0)
2026-08-07,Prata anã primeira - produtor,Linhares,quilograma,2.75,Hortifruti/Cepea (CC BY-NC 4.0)
2026-08-07,Prata anã primeira - produtor,Norte de Minas Gerais,quilograma,3.18,Hortifruti/Cepea (CC BY-NC 4.0)
2026-08-07,Prata anã primeira - produtor,Vale do São Francisco,quilograma,1.85,Hortifruti/Cepea (CC BY-NC 4.0)
2026-08-07,Prata litoral primeira - atacado,São Paulo (capital),Caixa 20 Kg,63.33,Hortifruti/Cepea (CC BY-NC 4.0)
2026-08-07,Prata litoral primeira - produtor,Norte de Santa Catarina,quilograma,2.16,Hortifruti/Cepea (CC BY-NC 4.0)
2026-08-07,Prata litoral primeira - produtor,Vale do Ribeira,quilograma,2.42,Hortifruti/Cepea (CC BY-NC 4.0)
